*미급수지역 위치 (주소),*미급수인구,미급수세대,상수원,,
경기도 김포시 대곶면 ,"2,251",750,지하수,,
경기도 김포시 고촌읍 ,"2,349",783,지하수,,
경기도 김포시 양촌읍 ,"4,825","1,608",지하수,,
경기도 김포시 월곶면 ,"1,651",550,"지하수,우물",,
경기도 김포시 하성면 ,"1,601",534,지하수,,
경기도 김포시 통진읍 ,"4,537","1,512","지하수,우물",,
경기도 김포시 장기동 ,786,279,지하수,,
경기도 김포시 구래동,453,175,지하수,,
경기도 김포시 장기본동,563,189,지하수,,
경기도 김포시 김포본동,"1,606",582,지하수,,
,"10,076","3,267",,,
경기도 화성시 봉담읍 ,"1,049",313,지하수 등,,
경기도 화성시 우정읍 ,216,76,지하수 등,,
경기도 화성시 향남읍 ,"3,535","1,012",지하수 등,,
경기도 화성시 매송면 ,59,20,지하수 등,,
경기도 화성시 비봉면 ,47,15,지하수 등,,
경기도 화성시 마도면 ,63,20,지하수 등,,
경기도 화성시 송산면 ,86,31,지하수 등,,
경기도 화성시 팔탄면 ,270,90,지하수 등,,
경기도 화성시 양감면 ,294,102,지하수 등,,
경기도 화성시 서신면 ,57,23,지하수 등,,
경기도 화성시 정남면 ,605,230,지하수 등,,
경기도 화성시 동탄면 ,145,42,지하수 등,,
경기도 화성시 병점동 ,"2,747",910,지하수 등,,
경기도 화성시 남양읍 ,802,350,지하수 등,,
경기도 화성시 장안면 ,101,33,지하수 등,,
,"17,004","6,791",,,
경기도 광주시 퇴촌면 ,386,154,지하수,,
경기도 광주시 곤지암읍 ,570,228,지하수,,
경기도 광주시 오포읍 ,"2,210",884,지하수,,
경기도 광주시 초월읍 ,615,246,지하수,,
경기도 광주시 도척면 ,469,187,지하수,,
경기도 광주시 남종면 ,202,80,지하수,,
경기도 광주시 중부면 ,146,58,지하수,,
경기도 광주시 송정동 ,"4,421","1,768",지하수,,
경기도 광주시 곤지암읍 ,"4,670","1,868",전용상수도,,
경기도 광주시 도척면 ,720,280,전용상수도,,
경기도 광주시 오포읍 ,700,280,전용상수도,,
경기도 광주시 삼동 ,"1,495",598,전용상수도,,
경기도 광주시 목동 ,400,160,전용상수도,,
,"2,963",859,,,
경기도 양주시 백석읍 ,164,32,"지하수, 전용상수도",,
경기도 양주시 은현면 ,207,61,"지하수, 전용상수도",,
경기도 양주시 남면 ,272,96,지하수,,
경기도 양주시 광적면 ,130,21,지하수,,
경기도 양주시 장흥면 ,103,33,"지하수, 전용상수도",,
경기도 양주시 양주1동 ,114,41,지하수,,
경기도 양주시 양주2동 ,392,109,지하수,,
경기도 양주시 회천1동 ,173,39,지하수,,
경기도 양주시 회천2동 ,221,55,지하수,,
경기도 양주시 회천3동 ,238,56,지하수,,
경기도 양주시 회천4동 ,949,316,지하수,,
,"25,205","6,104",,,
경기도 포천시 소흘읍 ,"4,338","1,020",지하수,,
경기도 포천시 선단동 ,928,205,지하수,,
경기도 포천시 동교동 ,943,228,지하수,,
경기도 포천시 설운동 ,440,104,지하수,,
경기도 포천시 신읍동 ,650,153,지하수,,
경기도 포천시 어룡동 ,514,165,지하수,,
경기도 포천시 자작동 ,430,179,지하수,,
경기도 포천시 관인면 ,"1,620",381,지하수,,
경기도 포천시 군내면 ,"2,580",607,지하수,,
경기도 포천시 내촌면 ,"1,230",289,지하수,,
경기도 포천시 신북면 ,"1,602",377,지하수,,
경기도 포천시 영북면 ,"1,870",440,지하수,,
경기도 포천시 영중면 ,"1,120",264,지하수,,
경기도 포천시 일동면 ,"3,490",821,지하수,,
경기도 포천시 이동면 ,850,184,지하수,,
경기도 포천시 창수면 ,885,110,지하수,,
경기도 포천시 화현면 ,920,216,지하수,,
경기도 포천시 선단동 ,795,361,전용상수도,,
,"4,177","1,392",,,
경기도 여주시 점동면 ,344,125,지하수 (전용상수도 포함),,
경기도 여주시 가남읍 ,437,136,지하수 (전용상수도 포함),,
경기도 여주시 능서면 ,527,175,지하수 (전용상수도 포함),,
경기도 여주시 강천면 ,617,205,"지하수 등 (전용상수도 포함)- 지하수, 계곡수",,
경기도 여주시 금사면 ,179,62,지하수 (전용상수도 포함),,
경기도 여주시 산북면 ,546,182,지하수 (전용상수도 포함),,
경기도 여주시 대신면 ,867,289,지하수 (전용상수도 포함),,
경기도 여주시 북내면 ,418,139,지하수 (전용상수도 포함),,
경기도 여주시 흥천면 ,226,75,지하수 (전용상수도 포함),,
경기도 여주시 월송동 ,16,4,지하수 (전용상수도 포함),,
,"2,445",637,,,
경기도 연천군 신서면 내산리,937,67,지하수,,
경기도 연천군 전곡읍 양원리,"1,508",570,지하수,,
,"4,109","2,062",,,
경기도 가평군 가평읍 금대리 상금대,72,36,지하수,,
경기도 가평군 가평읍 두밀리 윗두밀,144,72,지하수,,
경기도 가평군 가평읍 두밀리 샛두밀,127,64,계곡+지하수,,
경기도 가평군 가평읍 마장리 샘말,58,29,계곡수,,
경기도 가평군 가평읍 마장리 하마장,70,35,계곡수,,
경기도 가평군 가평읍 복장리,50,25,지하수,,
경기도 가평군 가평읍 승안리,77,39,지하수,,
경기도 가평군 가평읍 하색리,34,17,지하수,,
경기도 가평군 설악면 가일리,50,25,계곡+지하수,,
경기도 가평군 설악면 이천리,234,117,계곡+지하수,,
경기도 가평군 설악면 사룡리,24,12,계곡수,,
경기도 가평군 설악면 설곡리,72,36,지하수,,
경기도 가평군 설악면 엄소리,50,25,지하수,,
경기도 가평군 설악면 천안리,36,18,계곡+지하수,,
경기도 가평군 설악면 회곡리,108,54,계곡+지하수,,
경기도 가평군 청평면 대성리,137,68,지하수,,
경기도 가평군 청평면 삼회리,132,66,지하수,,
경기도 가평군 청평면 상천리,170,85,계곡수,,
경기도 가평군 청평면 청평리,34,17,지하수,,
경기도 가평군 청평면 하천리,29,15,지하수,,
경기도 가평군 청평면 호명리,41,21,계곡수,,
경기도 가평군 상면 덕현리,98,49,계곡+지하수,,
경기도 가평군 상면 봉수리,69,35,지하수,,
경기도 가평군 상면 연하리,40,20,지하수,,
경기도 가평군 상면 율길리,72,36,계곡수,,
경기도 가평군 상면 임초리,100,50,계곡+지하수,,
경기도 가평군 상면 원흥리,80,40,계곡수,,
경기도 가평군 상면 항사리,205,103,지하수,,
경기도 가평군 상면 행현리,205,103,지하수,,
경기도 가평군 하면 대보리,107,54,지하수,,
경기도 가평군 하면 마일리,80,40,계곡+지하수,,
경기도 가평군 하면 신상리,73,37,계곡수,,
경기도 가평군 하면 운악리,307,154,지하수,,
경기도 가평군 북면 도대리,127,64,계곡+지하수,,
경기도 가평군 북면 목동리,47,24,지하수,,
경기도 가평군 북면 백둔리,74,38,지하수,,
경기도 가평군 북면 소법리,48,24,지하수,,
경기도 가평군 북면 적목리,29,15,계곡+지하수,,
경기도 가평군 북면 화악리,88,44,지하수,,
경기도 가평군 상면 상동리,100,50,지하수,,
경기도 가평군 설악면 송산리,111,56,지하수,,
경기도 가평군 설악면 방일리,100,50,지하수,,
경기도 가평군 설악면 미사리,100,50,지하수,,
경기도 가평군 하면 상판리,100,50,지하수,,
,"12,773","9,125",,,
경기도 양평군 양평읍 ,342,198,지하수,,
경기도 양평군 강상면 ,"1,138",866,지하수,,
경기도 양평군 강하면 ,712,443,지하수,,
경기도 양평군 양서면 ,872,520,지하수,,
경기도 양평군 옥천면 ,"2,101","1,573",지하수,,
경기도 양평군 서종면 ,"2,302","1,815",지하수,,
경기도 양평군 단월면 ,"1,990","1,570",지하수,,
경기도 양평군 청운면 ,"1,709","1,052",지하수,,
경기도 양평군 양동면 ,350,266,지하수,,
경기도 양평군 지평면 ,986,690,지하수,,
경기도 양평군 용문면 ,151,72,지하수,,
경기도 양평군 개군면 ,120,60,지하수,,
,"54,444","26,443",,,
,"22,112","10,107",,,
,"32,332","16,336",,,
,"3,750","2,286",,,
강원도 춘천시 신동면 정족리,178,91,지하수,,
강원도 춘천시 동내면 고은리,66,44,지하수,,
강원도 춘천시 동내면 학곡리,54,30,지하수,,
강원도 춘천시 동면 감정리,29,18,지하수,,
강원도 춘천시 동면 만천리,55,43,지하수,,
강원도 춘천시 동면 상걸리,120,64,지하수,,
강원도 춘천시 동면 신이리,47,37,계곡수,,
강원도 춘천시 동면 월곡리,112,95,지하수,,
강원도 춘천시 동면 품걸리,95,59,지하수,,
강원도 춘천시 동면 평촌리,35,24,지하수,,
강원도 춘천시 남면 가정리,82,57,지하수,,
강원도 춘천시 남면 관천리,75,51,지하수,,
강원도 춘천시 남면 추곡리,58,40,지하수,,
강원도 춘천시 동면 장학리,37,21,지하수,,
강원도 춘천시 남산면 서천리,214,194,지하수,,
강원도 춘천시 서면 오월리,98,59,계곡수,,
강원도 춘천시 사북면 신포리,291,181,지하수,,
강원도 춘천시 사북면 가일리,52,34,지하수,,
강원도 춘천시 사북면 고성리,263,126,지하수,,
강원도 춘천시 사북면 송암리,182,95,지하수,,
강원도 춘천시 사북면 인람리,74,49,지하수,,
강원도 춘천시 북산면 물로리,125,78,지하수,,
강원도 춘천시 북산면 추전리,45,7,지하수,,
강원도 춘천시 동면 품안리,19,6,지하수,,
강원도 춘천시 북산면 추곡리,65,55,지하수,,
강원도 춘천시 북산면 오항리,163,122,지하수,,
강원도 춘천시 북산면 조교리,98,66,지하수,,
강원도 춘천시 북산면 부귀리,65,32,지하수,,
강원도 춘천시 북산면 청평리,52,29,지하수,,
강원도 춘천시 남면 박암리,22,16,지하수,,
강원도 춘천시 남산면 산수리,64,48,지하수,,
강원도 춘천시 남산면 광판리,159,103,지하수,,
강원도 춘천시 남산면 행촌리,124,51,지하수,,
강원도 춘천시 남산면 창촌리,86,43,지하수,,
강원도 춘천시 남면 한덕리,106,61,지하수,,
강원도 춘천시 사북면 원평리,156,82,지하수,,
강원도 춘천시 사북면 고탄리,184,75,지하수,,
,"13,317","5,397",,,
강원도 원주시 문막읍 비두리,176,90,지하수,,
강원도 원주시 문막읍 비두리,25,16,계곡수,,
강원도 원주시 문막읍 취병리,82,41,지하수,,
강원도 원주시 소초면 교항리,160,74,지하수,,
강원도 원주시 소초면 수암리,155,66,지하수,,
강원도 원주시 소초면 의관리,47,17,지하수,,
강원도 원주시 소초면 평장리,115,44,지하수,,
강원도 원주시 소초면 평장리,27,15,용천수,,
강원도 원주시 소초면 평장리,73,29,지하수,,
강원도 원주시 소초면 학곡리,37,16,지하수,,
강원도 원주시 호저면 고산리,101,37,지하수,,
강원도 원주시 호저면 광격리,240,89,지하수,,
강원도 원주시 호저면 대덕리,35,16,지하수,,
강원도 원주시 호저면 매호리,176,72,지하수,,
강원도 원주시 호저면 무장리,145,52,지하수,,
강원도 원주시 호저면 산현리,33,15,지하수,,
강원도 원주시 호저면 옥산리,57,19,지하수,,
강원도 원주시 호저면 용곡리,30,13,지하수,,
강원도 원주시 호저면 주산리,110,38,지하수,,
강원도 원주시 지정면 가곡리,134,56,지하수,,
강원도 원주시 지정면 간현리,112,55,지하수,,
강원도 원주시 지정면 신평리,105,47,지하수,,
강원도 원주시 지정면 안창리,153,64,지하수,,
강원도 원주시 지정면 월송리,70,34,지하수,,
강원도 원주시 지정면 판대리,85,38,지하수,,
강원도 원주시 부론면 단강리,72,41,지하수,,
강원도 원주시 부론면 법천리,45,30,지하수,,
강원도 원주시 부론면 손곡리,252,106,지하수,,
강원도 원주시 부론면 정산리,166,101,지하수,,
강원도 원주시 귀래면 귀래리,228,104,지하수,,
강원도 원주시 귀래면 용암리,153,65,지하수,,
강원도 원주시 귀래면 운계리,172,92,지하수,,
강원도 원주시 흥업면 대안리,106,72,지하수,,
강원도 원주시 흥업면 사제리,246,118,지하수,,
강원도 원주시 판부면 신촌리,132,33,지하수,,
강원도 원주시 신림면 금창리,100,38,지하수,,
강원도 원주시 신림면 성남리,289,116,지하수,,
강원도 원주시 신림면 송계리,194,88,지하수,,
강원도 원주시 신림면 신림리,25,10,지하수,,
강원도 원주시 신림면 신림리,50,10,용천수,,
강원도 원주시 신림면 용암리,164,66,지하수,,
강원도 원주시 신림면 황둔리,52,21,지하수,,
강원도 원주시 단구동 ,90,30,지하수,,
강원도 원주시 관설동 ,900,261,지하수,,
강원도 원주시 흥업면 사제리,297,297,전용상수도 (연세대),,
강원도 원주시 흥업면 사제리,190,78,전용상수도 (거장아파트),,
강원도 원주시 흥업면 흥업리,18,18,전용상수도 (한라대학교),,
강원도 원주시 무실동 ,425,179,지하수,,
강원도 원주시 문막읍 ,32,12,지하수,,
강원도 원주시 태장동 ,114,57,지하수,,
강원도 원주시 우산동 ,101,40,지하수,,
강원도 원주시 반곡동 ,24,11,지하수,,
강원도 원주시 행구동 ,485,182,지하수,,
강원도 원주시 봉산동 ,75,35,지하수,,
강원도 원주시 소초면 ,973,348,지하수,,
강원도 원주시 호저면 ,670,239,지하수,,
강원도 원주시 지정면 ,852,253,지하수,,
강원도 원주시 부론면 ,279,106,지하수,,
강원도 원주시 귀래면 ,541,218,지하수,,
강원도 원주시 흥업면 ,390,122,지하수,,
강원도 원주시 판부면 ,729,259,지하수,,
강원도 원주시 신림면 ,"1,203",488,지하수,,
,"4,579","2,192",,,
강원도 강릉시 주문진읍 ,180,90,지하수,,
강원도 강릉시 연곡면 ,65,25,"지하수, 계곡수",,
강원도 강릉시 옥계면 ,77,35,"지하수, 계곡수, 용천수",,
강원도 강릉시 성산면 ,760,350,"지하수, 용천수",,
강원도 강릉시 왕산면 ,777,355,"지하수, 계곡수, 용천수",,
강원도 강릉시 구정면 ,570,250,"지하수, 계곡수",,
강원도 강릉시 강동면 ,110,40,"지하수, 계곡수, 용천수",,
강원도 강릉시 사천면 ,440,210,지하수,,
강원도 강릉시 홍제동 ,20,10,지하수,,
강원도 강릉시 교동 ,90,45,지하수,,
강원도 강릉시 포남동 ,40,19,지하수,,
강원도 강릉시 내곡동 ,65,33,지하수,,
강원도 강릉시 노암동 ,840,430,지하수,,
강원도 강릉시 입암동 ,185,120,지하수,,
강원도 강릉시 저동 ,360,180,지하수,,
,446,212,,,
강원도 태백시 적각동 ,52,23,계곡수,,
강원도 태백시 하사미동 ,10,5,계곡수,,
강원도 태백시 소도동 ,76,41,"계곡수 (진골, 사배리골, 사내골)",,
강원도 태백시 금천동 ,13,5,계곡수,,
강원도 태백시 창죽동 ,78,35,계곡수,,
강원도 태백시 원동 ,83,42,계곡수,,
강원도 태백시 상사미동 ,85,35,계곡수,,
강원도 태백시 황지동 ,12,8,계곡수 (걸둔골),,
강원도 태백시 철암동 ,37,18,"계곡수 (머리골, 좁씨골)",,
,20,20,,,
강원도 삼척시 근덕면 교곡리 (파인밸리골프장),20,20,전용상수도,,
,"14,946","7,475",,,
강원도 홍천군 홍천읍 ,"1,526",644,기타,,
강원도 홍천군 북방면 ,794,395,기타,,
강원도 홍천군 남면 ,181,87,기타,,
강원도 홍천군 화촌면 ,"1,708",885,기타,,
강원도 홍천군 두촌면 ,818,426,기타,,
강원도 홍천군 내촌면 ,"1,526",725,기타,,
강원도 홍천군 서석면 ,"1,922",920,기타,,
강원도 홍천군 동면 ,"1,798",856,기타,,
강원도 홍천군 서면 ,"3,352","1,873",기타,,
강원도 홍천군 내면 ,"1,321",664,기타,,
,"6,979","3,680",,,
"강원도 횡성군 우천면 (하궁1리, 하궁2리, 오원3리, 용둔리)",425,246,지하수,,
"강원도 횡성군 안흥면 (조항1리, 조항2리, 소사3리, 송한리, 안흥2리, 상안1리, 상안2리, 지구2리)",749,351,지하수,,
"강원도 횡성군 둔내면 (삽교1,2,3리, 화동1,2리, 석문1,2리, 우용1,2리, 조항2리, 둔방1,2리, 마암1,2리, 두원2리, 현천1,2,4리)","2,651","1,332",지하수,,
"강원도 횡성군 갑천면 (상대리, 하대1,2리, 병지방1,2리, 중금리, 부동리)",695,382,지하수,,
"강원도 횡성군 횡성읍 (옥동리, 마옥리)",430,109,지하수,,
"강원도 횡성군 공근면 (상동리, 부창리, 상창봉리, 어둔리)",572,334,지하수,,
"강원도 횡성군 서원면 (옥계1,2리, 석화1,2,3리)",118,107,지하수,,
"강원도 횡성군 강림면 (강림1,2,3,4,5리, 부곡1,2리, 월현1,2리)",445,345,지하수,,
"강원도 횡성군 청일면 (봉명리, 속실리, 춘당1,2리, 고시리, 속실리, 갑천1,2리)",894,474,지하수,,
,"1,691",831,,,
강원도 영월군 영월읍 ,11,7,"지하수, 계곡수",,
강원도 영월군 중동면 ,173,84,"지하수, 계곡수",,
강원도 영월군 김삿갓면 ,202,100,"지하수, 계곡수",,
강원도 영월군 남면 ,254,126,"지하수, 계곡수",,
강원도 영월군 한반도면 ,137,67,"지하수, 계곡수",,
강원도 영월군 주천면 ,440,218,"지하수, 계곡수",,
강원도 영월군 수주면 ,220,109,"지하수, 계곡수",,
강원도 영월군 북면 ,254,120,"지하수, 계곡수",,
,"2,011","1,025",,,
강원도 평창군 평창읍 유동리 외 25개리,81,64,"계곡수, 지하수, 용천수, 복류수",,
강원도 평창군 미탄면 백운리 외 6개리,201,133,"계곡수, 지하수, 용천수, 복류수",,
강원도 평창군 방림면 계촌리 외 10개리,265,107,"계곡수, 지하수",,
강원도 평창군 진부면 송정1리 외 20개리,116,83,"계곡수, 지하수, 용천수",,
강원도 평창군 봉평면 유포1리 외 12개리,201,96,"계곡수, 지하수, 용천수",,
강원도 평창군 용평면 이목정1리 외 12개리,268,86,계곡수,,
강원도 평창군 대화면 대화4리 외 17개리,341,139,"계곡수, 지하수, 용천수",,
강원도 평창군 대관령면 차항리 외 10개리,118,73,"계곡수, 지하수",,
강원도 평창군 방림면 칡사리길 254-14 평창유스호스텔,22,13,지하수,,
강원도 평창군 봉평면 태기로 10-6 코업스위트하우스,21,15,지하수,,
강원도 평창군 봉평면 태기로 80-56 ㈜오리엔트리조트,22,10,지하수,,
강원도 평창군 봉평면 안흥동2길 61 백강콘도미니엄,25,14,지하수,,
강원도 평창군 용평면 경강로 2220 대관령원예농협협동조합공판사업소,20,14,복류수,,
강원도 평창군 대관령면 경강로 4887-5 평창올림피아호텔앤리조트,14,8,지하수,,
강원도 평창군 대관령면 올림픽로 715 ㈜용평리조트,228,132,복류수,,
강원도 평창군 대관령면 솔봉로 463-6 한일용평빌리지,12,10,지하수,,
강원도 평창군 대관령면 솔봉로 278-84 스카이테라하우스,47,23,지하수,,
