"측정소명","년","월","DO(㎎/L)","BOD(㎎/L)","COD(㎎/L)","SS(㎎/L)","TN(㎎/L)","TP(㎎/L)","TOC(㎎/L)","수소이온농도","총대장균군수(총대장균군수/100ml)","클로로필 a(㎎/㎥)","분원성대장균군수"
"봉선사천","2020","12","12","1.3","2.3","0.8","3.536","0.061","1.6","8.8","","",""
"봉선사천","2021","01","","","","","","","","","","",""
"봉선사천","2021","02","14","1","2.4","1.3","4.099","0.048","1.2","8.6","","",""
"봉선사천","2021","03","12.3","0.6","2.7","1","3.524","0.063","1.1","8.3","","",""
"봉선사천","2021","04","11.7","1","3","4.6","3.193","0.071","1.2","8.3","","",""
"봉선사천","2021","05","9.8","1.2","3.1","34.3","3.161","0.114","1.4","7.9","","",""
"봉선사천","2021","06","9.3","1.2","3.2","10.7","3.552","0.091","1.3","8.2","","",""
"봉선사천","2021","07","8.6","1","5.1","113.9","3.513","0.215","2.3","8","","",""
"봉선사천","2021","08","8.4","0.7","3.3","3.3","2.299","0.113","2.2","8","","",""
"봉선사천","2021","09","8.1","1","3.1","2.6","3.12","0.1","2.1","8","","",""
"봉선사천","2021","10","9.3","0.6","2.8","1","2.981","0.086","1.2","7.9","","",""
"봉선사천","2021","11","12.2","0.9","2.8","1.8","2.833","0.071","1.2","8.3","","",""
"봉선사천","2021","12","11.7","0.4","2.7","1","3.817","0.069","0.9","8.2","","",""
"진월","2020","01","14.1","0.7","1.8","11.6","1.929","0.026","1.8","8","600","4.1","260"
"진월","2020","02","11.7","0.4","2.1","23.6","1.071","0.035","1.6","7.9","22","1.8","5"
"진월","2020","03","6.7","0.6","2.4","16.4","1.361","0.034","1.5","7.5","13","2.4","1"
"진월","2020","04","8.7","0.7","2.3","35.6","0.571","0.02","2.1","8.2","40","2.6","1"
"진월","2020","05","8.6","1.4","2.9","18.8","0.726","0.032","2.1","7.8","232","7.6","38"
"진월","2020","06","8.2","0.8","2.5","29.2","0.737","0.049","2.5","7.7","92","3.1","15"
"진월","2020","07","8.4","0.5","2.5","9.6","1.673","0.068","2.6","7.5","90","1.7","40"
"진월","2020","08","8","1","3.2","14.4","1.52","0.054","2.8","7.6","1060","3.2","320"
"진월","2020","09","8.9","0.7","2.9","20.8","1.196","0.034","2.2","7.8","3900","21.4","840"
"진월","2020","10","7.6","0.9","2.1","26","0.675","0.033","1.9","7.6","480","2.9","60"
"진월","2020","11","6.5","0.7","2.4","31.6","0.759","0.028","1.7","7.9","280","3.1","50"
"진월","2020","12","10.1","0.4","1","32","0.693","0.061","1.9","7.5","104","1.6","36"
"진월","2021","01","13.2","2","1.4","35.2","0.817","0.021","2.3","8.3","80","8.5","16"
"진월","2021","02","9.8","1.9","3.1","28","0.805","0.023","2.5","8.4","280","6.3","23"
"진월","2021","03","10.7","1.7","3.4","39.6","1.066","0.028","2.5","7.9","220","3.2","18"
"진월","2021","04","8.8","0.7","2.6","26.8","1.252","0.03","2","7.7","116","2.1","11"
"진월","2021","05","7.1","0.5","3.3","17.2","0.694","0.047","1.9","7.8","154","1.2","38"
"진월","2021","06","8.5","1.1","4.3","23.2","0.783","0.034","3.1","8.2","740","11.6","22"
"진월","2021","07","7.3","0.5","4.1","7.6","1.475","0.105","2.4","7.3","3300","0.6","300"
"진월","2021","08","6.3","0.8","4.4","28","0.706","0.083","2.5","7.7","5500","3.6","740"
"진월","2021","09","6.1","0.6","3.2","22.8","1.148","0.072","2","7.7","250","0.4","132"
"진월","2021","10","7.9","0.6","3","28.8","0.709","0.06","2","7.7","470","7","28"
"진월","2021","11","7.5","0.5","3.1","26","0.671","0.066","1.7","7.8","720","1.6","5"
"진월","2021","12","10.1","0.7","9.2","38","0.898","0.045","1.7","8","120","2.4","5"
"수어천1","2020","01","9.3","0.4","0.7","0.5","0.805","0.01","0.3","7.4","98","0.4","0"
"수어천1","2020","02","10.9","0.6","1.1","0.7","1.412","0.015","0.4","6.9","512","0.8","4"
"수어천1","2020","03","9.9","0.7","1.6","0.7","1.154","0.015","0.4","8","46","0.9","0"
"수어천1","2020","04","9.3","0.6","1.1","1.7","0.951","0.016","0.4","8","648","0.7","1"
"수어천1","2020","05","8.9","0.9","0.5","1.3","0.79","0.009","0.4","7.4","1119","0.7","6"
"수어천1","2020","06","10.1","0.8","1","2","1.07","0.02","0.4","7.7","960","1.7","10"
"수어천1","2020","07","8.7","0.7","1","1","1.06","0.009","0.5","7.2","950","0.5","10"
"수어천1","2020","08","9.6","1.7","4.6","4","0.969","0.022","1.7","8.7","1150","1.7","15"
"수어천1","2020","09","9.5","1.6","3.2","5.3","0.885","0.03","1.5","9.3","1055","19","0"
"수어천1","2020","10","8.8","0.7","1.4","1","1.125","0.01","0.5","7.4","1854","5.2","8"
"수어천1","2020","11","11.6","0.9","1.6","2","1.32","0.016","0.6","7.3","1732","0.9","9"
"수어천1","2020","12","10.8","0.9","1.2","1.3","1.367","0.02","0.4","6.6","235","0.4","0"
"수어천1","2021","01","11.5","0.6","1","1.3","1.458","0.012","0.3","7.3","307","0.6","11"
"수어천1","2021","02","11","1.6","1.2","1","1.335","0.012","0.7","7.2","144","0.6","6"
"수어천1","2021","03","9.9","0.7","1.4","2.3","1.21","0.013","0.5","6.8","117","0.6","5"
"수어천1","2021","04","9.4","0.5","1","0.7","0.985","0.101","0.6","7","220","0.2","1"
"수어천1","2021","05","9.5","0.8","2.2","1","0.884","0.008","0.5","6.6","158","0.3","1"
"수어천1","2021","06","11.3","0.8","1.6","2","1.087","0.011","0.6","9.1","616","0.4","1"
"수어천1","2021","07","8.1","0.9","1.6","1.7","1.072","0.009","0.5","7.2","1553","0.7","11"
"수어천1","2021","08","7.6","0.9","2.8","1.3","0.978","0.022","0.5","7.5","1732","1.6","14"
"수어천1","2021","09","8.1","0.8","2","1.7","0.941","0.016","0.6","7.7","791","1.1","7"
"수어천1","2021","10","8.8","0.6","1.6","1.3","0.746","0.01","0.6","7.7","261","0.4","0"
"수어천1","2021","11","10","0.8","2.5","1.7","0.967","0.009","0.4","7.2","245","0.3","0"
"수어천1","2021","12","9.4","0.3","1.2","1.8","0.926","0.017","0.4","7.1","271","0.5","0"
"광양서천","2020","01","11.5","0.5","2.9","6.1","2.117","0.039","2.2","7.6","210","2.1","52"
"광양서천","2020","02","13.2","0.6","2.5","1.5","1.74","0.015","1.3","7.8","2","4.5","0"
"광양서천","2020","03","11.3","0.4","3.1","2.1","1.47","0.014","1.3","8.3","7","5.3","5"
"광양서천","2020","04","10.8","0.9","2.9","3","1.19","0.022","1.3","7.7","1","6.2","0"
"광양서천","2020","05","10.3","1.1","3.4","4.4","1.01","0.024","0.9","7.5","44","8.4","27"
"광양서천","2020","06","9.1","1","3.4","4.2","1.347","0.025","1.5","7.6","130","8.1","62"
"광양서천","2020","07","8.4","1.6","4.3","7.9","1.742","0.035","2","7.2","540","12","220"
"광양서천","2020","08","8.8","0.4","2.7","2.8","1.574","0.011","1.2","7.3","840","5.7","200"
"광양서천","2020","09","9","0.2","2.4","1.1","1.392","0.023","1.3","7.1","840","8.6","100"
"광양서천","2020","10","11.3","0.8","2.6","0.7","1.738","0.016","1.5","7.8","22","1.2","14"
"광양서천","2020","11","10.4","0.3","1.1","0.8","1.042","0.014","1.3","7.7","59","1.1","8"
"광양서천","2020","12","12.5","0.4","1.9","0.4","1.158","0.028","1.2","7.9","0","1.5","0"
"광양서천","2021","01","13.7","0.6","1.5","1.6","1.226","0.027","1.5","7.1","3","2.3","1"
